# ----------------------------------------
# Instantané des rapports
# Compte : Servicesartisans 
# Propriété : Servicesartisans
# ----------------------------------------
#  
# Date de début : 20260319
# Date de fin : 20260417
Utilisateurs actifs,Nouveaux utilisateurs,Durée d'engagement moyenne par utilisateur actif,Nombre d'événements
2113,2083,47.73213440605774,32125

#  
# Date de début : 20260319
# Date de fin : 20260417
Titre de la page et classe de l'écran,Vues,Utilisateurs actifs,Nombre d'événements,Taux de rebond
Chauffagiste Geispolsheim (67) — Devis 2026 | ServicesArtisans,3,1,13,0
Chauffagiste Thionville 2026 : 21 Artisans | ServicesArtisans,3,1,23,0.5
Climaticien Provence-Alpes-Côte d'Azur — Tarifs et devis | ServicesArtisans,3,1,15,1
Conditions Générales de Vente | ServicesArtisans,3,1,8,0
Construction d'une extension Nouméa : 1200–2000€ (2026) | ServicesArtisans,3,2,21,0
Couvreur Haut-Rhin — Devis gratuit | ServicesArtisans,3,1,14,0
Couvreur Toulon (83) — Devis 2026 | ServicesArtisans,3,1,15,0
Couvreur à Évreux — Devis Gratuit 2026 | ServicesArtisans,3,1,17,0
Cuisiniste à Toulon : 11 Pros + Devis | ServicesArtisans,3,1,17,0
DAVID ESTHER - Couvreur à Aubervilliers | ServicesArtisans,3,1,24,0
DAVID FERNANDEZ (FD RENOV) - Solier-moquettiste à Bauvin | ServicesArtisans,3,1,17,1
DAVID FERRARO (D.L.M SERVICES) -… | ServicesArtisans,3,1,16,0.5
DAVID METAIREAU (ATELIER DAVID… | ServicesArtisans,3,1,18,0
DE ZANDE - Plombier à Paris | ServicesArtisans,3,1,19,0
DIMITRI CASSE (MON PETIT ELECTRICIEN) -… | ServicesArtisans,3,2,37,0
DUMITRU PANEA (NDG RENOVATION) - Peintre… | ServicesArtisans,3,1,16,0
Devis chauffagiste 2026 : comparez les… | ServicesArtisans,3,1,11,0
Devis désinsectisation Revin : 3 offres | ServicesArtisans,3,1,19,0
Devis nettoyage Saint-Denis : 3 offres | ServicesArtisans,3,2,17,0
Devis plombier 2026 : comparez les prix | ServicesArtisans,3,2,10,0
Devis plombier à Paris — Gratuit | ServicesArtisans,3,1,15,0.5
Devis étanchéiste Thouars : 3 offres | ServicesArtisans,3,1,19,0
Déménagement maison (120 m²) Oyonnax : 2200–5500€ (2026) | ServicesArtisans,3,1,11,0
Dératisation à Vert-Saint-Denis — Devis Gratuit 2026 | ServicesArtisans,3,1,18,0
ELIE SIDERIS (SIDERIS ELECTRICITE) - Électricien à Clichy | ServicesArtisans,3,1,22,0
ENAK RICHARD (RECONNECT) - Électricien à… | ServicesArtisans,3,1,23,0.5
EROS LOBRY - Couvreur à Templemars | ServicesArtisans,3,1,21,0.5
