"﻿""URL""",Status,UR,Previous traffic,Current traffic,Traffic change,Previous traffic value,Current traffic value,Traffic value change,Current referring domains,Previous # of keywords,Current # of keywords,Keywords change,Previous top keyword,Current top keyword,Previous top keyword: Country,Current top keyword: Country,Previous top keyword: Volume,Current top keyword: Volume,Previous top keyword: Position,Current top keyword: Position,Top keyword: Position change,Page type
https://servicesartisans.fr/devis/demenageur/cambrai/centre-ville,Lost,0,1,,-1,1.48,,-1.48,0,1,,-1,demenageur cambrai,,France,,50,,11,,,
https://servicesartisans.fr/departements/allier/ascensoriste,Lost,0,1,,-1,,,,0,1,,-1,ascenseur l'allier,,France,,20,,9,,,
https://servicesartisans.fr/services/platrier/clichy/europa-services-977498005,Lost,0,1,,-1,,,,0,1,,-1,europa service,,France,,40,,10,,,
https://servicesartisans.fr/services/plombier/velizy-villacoublay/le-chesnay-rocquencourt,Lost,0,1,,-1,5.00,,-5.00,0,1,,-1,plombier le chesnay,,France,,250,,24,,,
https://servicesartisans.fr/tarifs/platrier,Lost,0,1,,-1,0.38,,-0.38,0,1,,-1,prix platrier,,France,,20,,10,,,
https://servicesartisans.fr/departements/charente-maritime/nettoyage,Lost,0,1,,-1,,,,0,1,,-1,contrat de nettoyage 17,,France,,40,,8,,,
https://servicesartisans.fr/villes/strasbourg/neudorf,Lost,0,1,,-1,2.61,,-2.61,0,1,,-1,plombier neudorf,,France,,30,,13,,,
https://servicesartisans.fr/tarifs/chauffagiste/grasse/installation-d-un-plancher-chauffant,New,0,,0,,,,,0,,1,1,,installation plancher chauffant grasse,,France,,0,,4,,
https://servicesartisans.fr/tarifs/ascensoriste/le-barcares,New,0,,0,,,,,0,,1,1,,monte escalier le barcares,,France,,0,,11,,
https://servicesartisans.fr/services/solier/louviers/rudolphe-courty-884176587,New,0,,0,,,,,0,,1,1,,rudolphe courty,,France,,10,,7,,
https://servicesartisans.fr/services/solier/nice/brico-man-brico-man-538466319,New,0,,0,,,0.00,0.00,0,,1,1,,brico man,,France,,3700,,20,,
https://servicesartisans.fr/avis/diagnostiqueur/seysses,New,0,,0,,,,,0,,1,1,,diagnostic gaz seysses,,France,,0,,2,,
https://servicesartisans.fr/departements/alpes-maritimes/vitrier,New,0,,0,,,,,0,,1,1,,changement de vitrages 06,,France,,0,,4,,
https://servicesartisans.fr/tarifs/menuisier/draguignan/pose-d-une-porte-interieure,New,0,,0,,,,,0,,1,1,,pose porte interieure draguignan,,France,,0,,10,,
https://servicesartisans.fr/blog/diagnostic-immobilier-obligatoire-liste,New,0,,0,,,,,0,,2,2,,diagnostic immobilier obligatoire 2021,,United States,,0,,10,,
https://servicesartisans.fr/tarifs/solier/la-madeleine/pose-de-parquet-massif-colle,New,0,,0,,,,,0,,1,1,,pose de parquet massif la madeleine,,France,,0,,7,,
https://servicesartisans.fr/tarifs/storiste/antibes/store-interieur-venitien-enrouleur,New,0,,0,,,,,0,,1,1,,stores d'intérieur antibes,,France,,0,,9,,
https://servicesartisans.fr/services/serrurier/saint-brieuc,,,0,0,,0.27,0.27,,,1,1,,serrurier saint brieuc,serrurier saint brieuc,France,France,250,250,26,26,0,
https://servicesartisans.fr/services/couvreur/wissous,New,0,,0,,,,,0,,1,1,,couvreur wissous,,France,,20,,11,,
https://servicesartisans.fr/tarifs-artisans/jardinier,,,0,0,,0.00,0.00,,,1,1,,tarif jardinier heure,tarif jardinier heure,France,France,150,150,86,86,0,
https://servicesartisans.fr/departements/seine-maritime/terrassier,New,0,,0,,,,,0,,1,1,,terrassement maison seine-maritime,,France,,0,,3,,
https://servicesartisans.fr/services/plombier/gonesse,New,0,,0,,,0.00,0.00,0,,1,1,,plombier gonesse,,France,,200,,53,,
https://servicesartisans.fr/services/plombier/marseille/ams-plomberie-841592272,New,0,,0,,,0.12,0.12,0,,1,1,,ams plomberie marseille,,France,,0,,9,,
https://servicesartisans.fr/tarifs/jardinier/clichy/tonte-de-pelouse-jardin-de-200-m,New,0,,0,,,,,0,,1,1,,tonte gazon clichy,,France,,0,,5,,
https://servicesartisans.fr/tarifs/jardinier/grasse/taille-de-haie,New,0,,0,,,,,0,,1,1,,taille de haie grasse,,France,,0,,9,,
https://servicesartisans.fr/tarifs/electricien/carcassonne/installation-d-un-interphone-ou-visiophone,New,0,,0,,,0.32,0.32,0,,1,1,,installateur d'interphone,,France,,10,,10,,
https://servicesartisans.fr/tarifs/etancheiste/menton/etancheite-toiture-terrasse-membrane-bitume,New,0,,0,,,,,0,,2,2,,membrane epdm menton,,France,,0,,8,,
https://servicesartisans.fr/avis/serrurier/aix-les-bains,New,0,,0,,,0.01,0.01,0,,1,1,,serrurier aix-les-bains,,France,,600,,48,,
https://servicesartisans.fr/tarifs/vitrier/nimes/remplacement-d-une-vitre-cassee-standard,New,0,,0,,,,,0,,1,1,,tarif remplacement double vitrage nimes,,France,,0,,5,,
https://servicesartisans.fr/avis/couvreur/saint-just-en-chaussee,New,0,,0,,,,,0,,1,1,,couvreur zingueur saint just en chaussée,,France,,0,,11,,
https://servicesartisans.fr/services/carreleur/woippy/6b846bf14569a096,New,0,,0,,,,,0,,1,1,,ocs assainissement,,France,,0,,10,,
https://servicesartisans.fr/problemes/wc-bouche/evry-courcouronnes,New,0,,0,,,,,0,,1,1,,toilettes bouchées evry,,France,,0,,10,,
https://servicesartisans.fr/departements/drome/isolation-thermique,New,0,,0,,,,,0,,1,1,,isolation thermique drome,,France,,0,,2,,
https://servicesartisans.fr/avis/carreleur/quesnoy-sur-deule,,0,0,0,,,,,0,1,1,,pose de carrelage quesnoy-sur-deûle,pose de carrelage quesnoy-sur-deûle,United States,United States,0,0,10,10,0,
https://servicesartisans.fr/tarifs/plombier/castres/remplacement-d-un-chauffe-eau,New,0,,0,,,,,0,,1,1,,prix chauffe eau thermodynamique castres,,France,,0,,14,,
https://servicesartisans.fr/services/chauffagiste/perissac/ap-reno-ambiance-poele-900770587,New,0,,0,,,,,0,,1,1,,ambiance poele perissac,,France,,0,,7,,
https://servicesartisans.fr/tarifs/deratisation,,,0,0,,0.00,0.00,,,2,2,,deratisation prix,deratisation prix,France,France,200,200,65,65,0,
https://servicesartisans.fr/devis/etancheiste/villefranche-sur-mer,New,0,,0,,,,,0,,1,1,,etancheite bureaux villefranche sur mer,,France,,0,,8,,
https://servicesartisans.fr/tarifs/architecte-interieur,,,0,0,,0.00,0.00,,,1,1,,cout architecte d'intérieur,cout architecte d'intérieur,France,France,200,200,44,44,0,
https://servicesartisans.fr/avis/jardinier/notre-dame-de-bondeville,New,0,,0,,,,,0,,1,1,,entretien de jardin notredamedebondeville,,France,,0,,8,,
https://servicesartisans.fr/departements/vendee/salle-de-bain,New,0,,0,,,,,0,,1,1,,rénovation salle de bain sur mesure vendee,,France,,0,,4,,
https://servicesartisans.fr/tarifs/alarme-securite/saint-etienne/coffre-fort-encastre-pose-comprise,New,0,,0,,,0.17,0.17,0,,1,1,,coffre fort saint etienne,,France,,10,,11,,
https://servicesartisans.fr/tarifs/jardinier/grasse/installation-d-arrosage-automatique,New,0,,0,,,,,0,,1,1,,installation d’arrosage grasse,,France,,0,,9,,
https://servicesartisans.fr/services/architecte-interieur/bressuire/og2l-og2l-478339054,New,0,,0,,,,,0,,1,1,,og2l,,France,,10,,9,,
https://servicesartisans.fr/services/vitrier/clichy,New,0,,0,,,,,0,,1,1,,vitrier clichy,,United States,,10,,10,,
